Material_ID,Cp1_residual,Cp2_residual
1,0.5909439999995811,-1.255510999999501
2,0.5909439999995811,-1.255510999999501
3,0.5909439999995811,-1.255510999999501
4,0.5909439999995811,-1.255510999999501
5,0.5909439999995811,-1.255510999999501
6,0.5909439999995811,-1.255510999999501
7,0.5909439999995811,-1.255510999999501
8,0.5909439999995811,-1.255510999999501
9,0.5909439999995811,-1.255510999999501
10,0.5909439999995811,-1.255510999999501
11,-4.753274999999121,-5.774709999999573
12,-4.753274999999121,-5.774709999999573
13,-4.753274999999121,-5.774709999999573
14,-4.753274999999121,-5.774709999999573
15,-4.753274999999121,-5.774709999999573
16,-4.753274999999121,-5.774709999999573
17,-4.753274999999121,-5.774709999999573
18,-4.753274999999121,-5.774709999999573
19,-4.753274999999121,-5.774709999999573
20,-4.753274999999121,-5.774709999999573
21,21.90355499999987,-13.881361000000084
22,21.90355499999987,-13.881361000000084
23,21.90355499999987,-13.881361000000084
24,21.90355499999987,-13.881361000000084
25,21.90355499999987,-13.881361000000084
26,21.90355499999987,-13.881361000000084
27,21.90355499999987,-13.881361000000084
28,21.90355499999987,-13.881361000000084
29,21.90355499999987,-13.881361000000084
30,21.90355499999987,-13.881361000000084
31,-10.738770999999588,-20.28578300000038
32,-10.738770999999588,-20.28578300000038
33,-10.738770999999588,-20.28578300000038
34,-10.738770999999588,-20.28578300000038
35,-10.738770999999588,-20.28578300000038
36,-10.738770999999588,-20.28578300000038
37,-10.738770999999588,-20.28578300000038
38,-10.738770999999588,-20.28578300000038
39,-10.738770999999588,-20.28578300000038
40,-10.738770999999588,-20.28578300000038
41,-0.7757120000004534,-3.8096210000005613
42,-0.7757120000004534,-3.8096210000005613
43,-0.7757120000004534,-3.8096210000005613
44,-0.7757120000004534,-3.8096210000005613
45,-0.7757120000004534,-3.8096210000005613
46,-0.7757120000004534,-3.8096210000005613
47,-0.7757120000004534,-3.8096210000005613
48,-0.7757120000004534,-3.8096210000005613
49,-0.7757120000004534,-3.8096210000005613
50,-0.7757120000004534,-3.8096210000005613
51,-81.72153799999978,2.326475999999616
52,-81.72153799999978,2.326475999999616
53,-81.72153799999978,2.326475999999616
54,-81.72153799999978,2.326475999999616
55,-81.72153799999978,2.326475999999616
56,-81.72153799999978,2.326475999999616
57,-81.72153799999978,2.326475999999616
58,-81.72153799999978,2.326475999999616
59,-81.72153799999978,2.326475999999616
60,-81.72153799999978,2.326475999999616
61,8.473335000001043,-31.194270000000188
62,8.473335000001043,-31.194270000000188
63,8.473335000001043,-31.194270000000188
64,8.473335000001043,-31.194270000000188
65,8.473335000001043,-31.194270000000188
66,8.473335000001043,-31.194270000000188
67,8.473335000001043,-31.194270000000188
68,8.473335000001043,-31.194270000000188
69,8.473335000001043,-31.194270000000188
70,8.473335000001043,-31.194270000000188
71,29.861286999999265,-31.57362800000044
72,29.861286999999265,-31.57362800000044
73,29.861286999999265,-31.57362800000044
74,29.861286999999265,-31.57362800000044
75,29.861286999999265,-31.57362800000044
76,29.861286999999265,-31.57362800000044
77,29.861286999999265,-31.57362800000044
78,29.861286999999265,-31.57362800000044
79,29.861286999999265,-31.57362800000044
80,29.861286999999265,-31.57362800000044
81,18.457092000000614,6.20955000000032
82,18.457092000000614,6.20955000000032
83,18.457092000000614,6.20955000000032
84,18.457092000000614,6.20955000000032
85,18.457092000000614,6.20955000000032
86,18.457092000000614,6.20955000000032
87,18.457092000000614,6.20955000000032
88,18.457092000000614,6.20955000000032
89,18.457092000000614,6.20955000000032
90,18.457092000000614,6.20955000000032
91,6.283917000000656,3.8670790000001602
92,6.283917000000656,3.8670790000001602
93,6.283917000000656,3.8670790000001602
94,6.283917000000656,3.8670790000001602
95,6.283917000000656,3.8670790000001602
96,6.283917000000656,3.8670790000001602
97,6.283917000000656,3.8670790000001602
98,6.283917000000656,3.8670790000001602
99,6.283917000000656,3.8670790000001602
100,6.283917000000656,3.8670790000001602
101,10.049410999999282,-2.8589699999996014
102,10.049410999999282,-2.8589699999996014
103,10.049410999999282,-2.8589699999996014
104,10.049410999999282,-2.8589699999996014
105,10.049410999999282,-2.8589699999996014
106,10.049410999999282,-2.8589699999996014
107,10.049410999999282,-2.8589699999996014
108,10.049410999999282,-2.8589699999996014
109,10.049410999999282,-2.8589699999996014
110,10.049410999999282,-2.8589699999996014
111,-47.9580049999995,-0.5266980000006924
112,-47.9580049999995,-0.5266980000006924
113,-47.9580049999995,-0.5266980000006924
114,-47.9580049999995,-0.5266980000006924
115,-47.9580049999995,-0.5266980000006924
116,-47.9580049999995,-0.5266980000006924
